House,EnergyProduction
1,778
2,627
3,735
4,533
5,533
6,670
7,673
8,560
9,517
10,455
11,455
12,670
13,565
14,455
15,778
16,627
17,586
18,518
19,627
20,467
21,684
22,560
23,471
24,670
25,471
26,668
27,673
28,736
29,627
30,523
31,736
32,523
33,736
34,584
35,584
36,565
37,735
38,673
39,518
40,735
41,523
42,471
43,684
44,735
45,668
46,522
47,455
48,471
49,455
50,668
51,455
52,684
53,627
54,517
55,735
56,471
57,585
58,534
59,627
60,736
61,628
62,523
63,670
64,455
65,517
66,565
67,778
68,523
69,467
70,565
71,467
72,586
73,522
74,585
75,534
76,627
77,670
78,534
79,467
80,534
81,778
82,670
83,627
84,627
85,628
86,886
87,455
88,455
89,451
90,670
91,565
92,533
93,533
94,736
95,668
96,886
97,467
98,584
99,517
100,534
101,518
102,460
103,684
104,735
105,586
106,736
107,467
108,517
109,886
110,778
111,533
112,560
113,517
114,627
115,460
116,471
117,451
118,670
119,533
120,533
121,576
122,684
123,523
124,586
125,560
126,585
127,517
128,673
129,560
130,627
131,576
132,684
133,585
134,534
135,565
136,576
137,471
138,533
139,628
140,585
141,673
142,523
143,467
144,518
145,565
146,518
147,576
148,467
149,534
150,576
151,560
152,886
153,668
154,534
155,471
156,483
157,627
158,565
159,522
160,886
161,736
162,517
163,586
164,460
165,467
166,684
167,517
168,460
169,565
170,560
171,576
172,451
173,670
174,736
175,455
176,471
177,778
178,534
179,736
180,534
181,627
182,576
183,585
184,668
185,778
186,522
187,736
188,518
189,735
190,778
191,534
192,735
193,627
194,585
195,673
196,576
197,467
198,471
199,518
200,673
201,517
202,467
203,533
204,560
205,560
206,455
207,460
208,673
209,483
210,735
211,471
212,778
213,460
214,517
215,684
216,522
217,522
218,534
219,455
220,455
221,736
222,673
223,560
224,522
225,518
226,467
227,483
228,523
229,451
230,736
231,533
232,627
233,523
234,668
235,523
236,735
237,517
238,584
239,518
240,517
241,455
242,533
243,518
244,467
245,460
246,522
247,534
248,560
249,576
250,523
251,560
252,460
253,523
254,523
255,455
256,586
257,518
258,684
259,460
260,560
261,517
262,778
263,483
264,455
265,735
266,735
267,455
268,455
269,576
270,455
271,673
272,736
273,565
274,455
275,483
276,560
277,886
278,565
279,523
280,735
281,778
282,627
283,668
284,523
285,517
286,576
287,483
288,523
289,736
290,684
291,735
292,533
293,522
294,471
295,565
296,455
297,585
298,584
299,668
300,628
301,451
302,467
303,560
304,735
305,576
306,565
307,627
308,565
309,460
310,451
311,560
312,517
313,673
314,670
315,628
316,517
317,628
318,628
319,628
320,451
321,460
322,585
323,585
324,627
325,673
326,534
327,565
328,518
329,628
330,523
331,670
332,455
333,736
334,668
335,467
336,627
337,576
338,778
339,628
340,673
341,778
342,736
343,523
344,533
345,467
346,533
347,586
348,736
349,584
350,684
351,735
352,471
353,586
354,523
355,628
356,585
357,483
358,585
359,483
360,736
361,467
362,735
363,628
364,668
365,886
366,668
367,467
368,455
369,460
370,518
371,735
372,627
373,518
374,684
375,670
376,684
377,585
378,628
379,455
380,523
381,735
382,673
383,471
384,684
385,586
386,778
387,565
388,673
389,668
390,522
391,778
392,560
393,673
394,584
395,886
396,627
397,584
398,517
399,735
400,522
401,627
402,455
403,565
404,627
405,627
406,533
407,670
408,684
409,668
410,533
411,673
412,585
413,628
414,576
415,585
416,534
417,735
418,576
419,684
420,523
421,585
422,684
423,735
424,455
425,467
426,670
427,668
428,522
429,522
430,523
431,560
432,517
433,586
434,673
435,522
436,533
437,628
438,483
439,483
440,584
441,483
442,560
443,886
444,451
445,585
446,522
447,778
448,586
449,451
450,584
451,522
452,627
453,684
454,736
455,585
456,534
457,628
458,736
459,668
460,522
461,778
462,471
463,455
464,533
465,627
466,460
467,565
468,576
469,483
470,534
471,736
472,533
473,471
474,584
475,522
476,576
477,684
478,576
479,451
480,585
481,517
482,585
483,471
484,518
485,668
486,560
487,627
488,585
489,560
490,584
491,534
492,670
493,736
494,533
495,455
496,483
497,628
498,673
499,735
500,586
