ID,Label,House,Year,Month,Temperature,Daylight,EnergyProduction
0,0,1,2011,7,26.2,178.9,740
1,1,1,2011,8,25.8,169.7,731
2,2,1,2011,9,22.8,170.2,694
3,3,1,2011,10,16.4,169.1,688
4,4,1,2011,11,11.4,169.1,650
5,5,1,2011,12,4.2,199.5,763
6,6,1,2012,1,1.8,203.1,765
7,7,1,2012,2,2.8,178.2,706
8,8,1,2012,3,6.7,172.7,788
9,9,1,2012,4,12.6,182.2,831
10,10,1,2012,5,17.6,214.2,955
11,11,1,2012,6,20.8,143,837
12,12,1,2012,7,25.3,156.9,863
13,13,1,2012,8,27.4,257.1,1069
14,14,1,2012,9,24,169.8,815
15,15,1,2012,10,16.7,193.2,784
16,16,1,2012,11,9.4,182,634
17,17,1,2012,12,3.8,180.1,593
18,18,1,2013,1,2.2,229.7,763
19,19,1,2013,2,3.3,193.5,756
20,20,1,2013,3,9.7,220.2,931
21,21,1,2013,4,12.5,226.1,967
22,22,1,2013,5,18.5,254,1088
24,0,2,2011,7,25.6,179,659
25,1,2,2011,8,25.5,180.5,619
26,2,2,2011,9,22.7,167.1,563
27,3,2,2011,10,16.5,152.6,511
28,4,2,2011,11,11.5,157.8,467
29,5,2,2011,12,4.3,192.4,545
30,6,2,2012,1,1.6,198.9,578
31,7,2,2012,2,2.8,159.5,499
32,8,2,2012,3,6.7,159.2,567
33,9,2,2012,4,12.3,178.3,641
34,10,2,2012,5,17.4,200.3,690
35,11,2,2012,6,19.9,153.9,592
36,12,2,2012,7,24.7,174.1,695
37,13,2,2012,8,26.8,261.5,805
38,14,2,2012,9,23.7,177.1,588
39,15,2,2012,10,16.6,179.6,520
40,16,2,2012,11,9.4,171.8,402
41,17,2,2012,12,3.6,167.4,350
42,18,2,2013,1,2,216.3,451
43,19,2,2013,2,3.3,183.7,468
44,20,2,2013,3,9.8,200.4,625
45,21,2,2013,4,12.5,213,721
46,22,2,2013,5,17.5,243.8,839
48,0,3,2011,7,26.9,179.7,617
49,1,3,2011,8,26.6,176.4,601
50,2,3,2011,9,24,177.5,654
51,3,3,2011,10,17.5,157.1,598
52,4,3,2011,11,12.3,163.3,626
53,5,3,2011,12,5.1,200,805
54,6,3,2012,1,2.6,206.9,792
55,7,3,2012,2,3.6,175.8,669
56,8,3,2012,3,7.2,163.9,681
57,9,3,2012,4,12.8,172.4,696
58,10,3,2012,5,18.3,208.7,824
59,11,3,2012,6,20.5,148.6,698
60,12,3,2012,7,25.7,164,836
61,13,3,2012,8,28.4,261.9,974
62,14,3,2012,9,24.8,165.8,709
63,15,3,2012,10,17.6,188.2,679
64,16,3,2012,11,10.5,172.6,522
65,17,3,2012,12,4.9,189.4,497
66,18,3,2013,1,3.3,232.2,632
67,19,3,2013,2,3.9,193.8,664
68,20,3,2013,3,10.1,203.1,797
69,21,3,2013,4,13.1,214,860
70,22,3,2013,5,18.3,247.2,1005
72,0,4,2011,7,25.7,187.2,564
73,1,4,2011,8,25.9,184.4,517
74,2,4,2011,9,23.5,173.4,505
75,3,4,2011,10,17.5,137.1,411
76,4,4,2011,11,12.6,145,400
77,5,4,2011,12,5.4,185.3,489
78,6,4,2012,1,2.7,193.1,520
79,7,4,2012,2,3.5,158.1,445
80,8,4,2012,3,7,149,479
81,9,4,2012,4,11.9,171.6,529
82,10,4,2012,5,17.2,198.8,584
83,11,4,2012,6,18.9,168.8,507
84,12,4,2012,7,24.3,178.5,621
85,13,4,2012,8,27,268.8,690
86,14,4,2012,9,24.3,177.3,477
87,15,4,2012,10,17.6,176.9,440
88,16,4,2012,11,11,159.9,330
89,17,4,2012,12,5.4,172.5,311
90,18,4,2013,1,3.4,221,395
91,19,4,2013,2,4,183.2,417
92,20,4,2013,3,9.9,185.3,507
93,21,4,2013,4,12.6,197.6,592
94,22,4,2013,5,16.4,240.7,723
96,0,5,2011,7,25.7,187.2,564
97,1,5,2011,8,25.9,184.4,517
98,2,5,2011,9,23.5,173.4,505
99,3,5,2011,10,17.5,137.1,411
100,4,5,2011,11,12.6,145,400
101,5,5,2011,12,5.4,185.3,489
102,6,5,2012,1,2.7,193.1,520
103,7,5,2012,2,3.5,158.1,445
104,8,5,2012,3,7,149,479
105,9,5,2012,4,11.9,171.6,529
106,10,5,2012,5,17.2,198.8,584
107,11,5,2012,6,18.9,168.8,507
108,12,5,2012,7,24.3,178.5,621
109,13,5,2012,8,27,268.8,690
110,14,5,2012,9,24.3,177.3,477
111,15,5,2012,10,17.6,176.9,440
112,16,5,2012,11,11,159.9,330
113,17,5,2012,12,5.4,172.5,311
114,18,5,2013,1,3.4,221,395
115,19,5,2013,2,4,183.2,417
116,20,5,2013,3,9.9,185.3,507
117,21,5,2013,4,12.6,197.6,592
118,22,5,2013,5,16.4,240.7,723
120,0,6,2011,7,24.8,178.1,783
