House,EnergyProduction
1,516.61175
2,505.227695
3,519.0323129999999
4,504.42953
5,504.42953
6,502.16954899999996
7,525.711528
8,511.87609699999996
9,514.29666
10,520.975875
11,520.975875
12,502.16954899999996
13,511.269327
14,520.975875
15,516.61175
16,505.227695
17,514.958539
18,518.152971
19,505.227695
20,510.84268999999995
21,515.5783429999999
22,511.87609699999996
23,510.471162
24,502.16954899999996
25,510.471162
26,525.445473
27,525.711528
28,522.8886239999999
29,505.227695
30,517.781443
31,522.8886239999999
32,517.781443
33,522.8886239999999
34,507.648258
35,507.648258
36,511.269327
37,519.0323129999999
38,525.711528
39,518.152971
40,519.0323129999999
41,517.781443
42,510.471162
43,515.5783429999999
44,519.0323129999999
45,525.445473
46,514.327473
47,520.975875
48,510.471162
49,520.975875
50,525.445473
51,520.975875
52,515.5783429999999
53,505.227695
54,514.29666
55,519.0323129999999
56,510.471162
57,511.739811
58,507.648258
59,505.227695
60,522.8886239999999
61,508.681665
62,517.781443
63,502.16954899999996
64,520.975875
65,514.29666
66,511.269327
67,516.61175
68,517.781443
69,510.84268999999995
70,511.269327
71,510.84268999999995
72,514.958539
73,514.327473
74,511.739811
75,507.648258
76,505.227695
77,502.16954899999996
78,507.648258
79,510.84268999999995
80,507.648258
81,516.61175
82,502.16954899999996
83,505.227695
84,505.227695
85,508.681665
86,530.181126
87,520.975875
88,520.975875
89,520.70982
90,502.16954899999996
91,511.269327
92,504.42953
93,504.42953
94,522.8886239999999
95,525.445473
96,530.181126
97,510.84268999999995
98,507.648258
99,514.29666
100,507.648258
101,518.152971
102,520.369105
103,515.5783429999999
104,519.0323129999999
105,514.958539
106,522.8886239999999
107,510.84268999999995
108,514.29666
109,530.181126
110,516.61175
111,504.42953
112,511.87609699999996
113,514.29666
114,505.227695
115,520.369105
116,510.471162
117,520.70982
118,502.16954899999996
119,504.42953
120,504.42953
121,501.371384
122,515.5783429999999
123,517.781443
124,514.958539
125,511.87609699999996
126,511.739811
127,514.29666
128,525.711528
129,511.87609699999996
130,505.227695
131,501.371384
132,515.5783429999999
133,511.739811
134,507.648258
135,511.269327
136,501.371384
137,510.471162
138,504.42953
139,508.681665
140,511.739811
141,525.711528
142,517.781443
143,510.84268999999995
144,518.152971
145,511.269327
146,518.152971
147,501.371384
148,510.84268999999995
149,507.648258
150,501.371384
151,511.87609699999996
152,530.181126
153,525.445473
154,507.648258
155,510.471162
156,500.337977
157,505.227695
158,511.269327
159,514.327473
160,530.181126
161,522.8886239999999
162,514.29666
163,514.958539
164,520.369105
165,510.84268999999995
166,515.5783429999999
167,514.29666
168,520.369105
169,511.269327
170,511.87609699999996
171,501.371384
172,520.70982
173,502.16954899999996
174,522.8886239999999
175,520.975875
176,510.471162
177,516.61175
178,507.648258
179,522.8886239999999
180,507.648258
181,505.227695
182,501.371384
183,511.739811
184,525.445473
185,516.61175
186,514.327473
187,522.8886239999999
188,518.152971
189,519.0323129999999
190,516.61175
191,507.648258
192,519.0323129999999
193,505.227695
194,511.739811
195,525.711528
196,501.371384
197,510.84268999999995
198,510.471162
199,518.152971
200,525.711528
201,514.29666
202,510.84268999999995
203,504.42953
204,511.87609699999996
205,511.87609699999996
206,520.975875
207,520.369105
208,525.711528
209,500.337977
210,519.0323129999999
211,510.471162
212,516.61175
213,520.369105
214,514.29666
215,515.5783429999999
216,514.327473
217,514.327473
218,507.648258
219,520.975875
220,520.975875
221,522.8886239999999
222,525.711528
223,511.87609699999996
224,514.327473
225,518.152971
226,510.84268999999995
227,500.337977
228,517.781443
229,520.70982
230,522.8886239999999
231,504.42953
232,505.227695
233,517.781443
234,525.445473
235,517.781443
236,519.0323129999999
237,514.29666
238,507.648258
239,518.152971
240,514.29666
241,520.975875
242,504.42953
243,518.152971
244,510.84268999999995
245,520.369105
246,514.327473
247,507.648258
248,511.87609699999996
249,501.371384
250,517.781443
251,511.87609699999996
252,520.369105
253,517.781443
254,517.781443
255,520.975875
256,514.958539
257,518.152971
