House,EnergyProduction
1,779.29
2,621.872
3,735.036
4,535.392
5,535.392
6,685.346
7,674.638
8,561.982
9,517.326
10,469.198
11,469.198
12,685.366
13,565.158
14,469.198
15,779.238
16,621.872
17,596.306
18,525.064
19,621.872
20,471.71
21,692.766
22,561.982
23,475.56
24,685.366
25,475.56
26,671.034
27,674.63
28,730.898
29,621.872
30,530.072
31,730.898
32,530.072
33,730.898
34,584.996
35,584.996
36,565.158
37,735.036
38,674.63
39,525.064
40,735.036
41,530.072
42,475.56
43,692.758
44,735.076
45,671.008
46,519.71
47,469.198
48,475.56
49,469.198
50,671.008
51,469.222
52,692.758
53,621.872
54,517.326
55,735.076
56,475.584
57,589.994
58,538.134
59,621.872
60,730.898
61,634.422
62,530.072
63,685.372
64,469.222
65,517.326
66,565.158
67,779.246
68,530.072
69,471.784
70,565.158
71,471.784
72,596.298
73,519.71
74,589.994
75,538.134
76,621.872
77,685.372
78,538.134
79,471.784
80,538.134
81,779.246
82,685.392
83,621.884
84,621.884
85,634.422
86,886.998
87,469.212
88,469.212
89,465.338
90,685.392
91,565.158
92,535.406
93,535.406
94,730.898
95,671.008
96,887.134
97,471.784
98,584.99
99,517.326
100,538.134
101,525.056
102,470.688
103,692.758
104,735.076
105,596.266
106,730.898
107,471.784
108,517.326
109,887.134
110,779.242
111,535.406
112,561.982
113,517.326
114,621.884
115,470.688
116,475.618
117,465.338
118,685.392
119,535.406
120,535.406
121,579.576
122,692.758
123,530.064
124,596.266
125,561.982
126,589.994
127,517.326
128,674.63
129,561.982
130,621.884
131,579.574
132,692.758
133,589.994
134,538.142
135,565.158
136,579.574
137,475.618
138,535.406
139,634.422
140,589.994
141,674.63
142,530.064
143,471.804
144,525.056
145,565.158
146,525.054
147,579.574
148,471.806
149,538.142
150,579.574
151,561.982
152,887.004
153,671.016
154,538.142
155,475.618
156,483.846
157,621.856
158,565.158
159,519.71
160,887.004
161,730.88
162,517.326
163,596.266
164,470.688
165,471.806
166,692.766
167,517.326
168,470.688
169,565.158
170,561.982
171,579.574
172,465.338
173,685.342
174,730.866
175,469.212
176,475.618
177,779.242
178,538.142
179,730.866
180,538.142
181,621.856
182,579.574
183,589.994
184,671.016
185,779.242
186,519.71
187,730.884
188,525.054
189,735.076
190,779.242
191,538.142
192,735.076
193,621.856
194,589.994
195,674.634
196,579.574
197,471.806
198,475.618
199,525.054
200,674.634
201,517.326
202,471.806
203,535.192
204,561.982
205,561.982
206,469.212
207,470.688
208,674.642
209,483.846
210,735.076
211,475.618
212,779.242
213,470.688
214,517.326
215,692.774
216,519.71
217,519.71
218,538.16
219,469.212
220,469.212
221,730.884
222,674.642
223,561.982
224,519.684
225,525.054
226,471.806
227,483.846
228,530.09
229,465.338
230,730.884
231,535.192
232,621.798
233,530.09
234,671.024
235,530.07
236,735.076
237,517.326
238,584.806
239,525.054
240,517.326
241,469.212
242,535.192
243,525.054
244,471.806
245,470.688
246,519.684
247,538.152
248,561.974
249,579.674
250,530.088
251,561.974
252,470.688
253,530.088
254,530.088
255,469.212
256,596.266
257,525.062
258,692.774
259,470.688
260,561.974
261,517.326
262,779.242
263,483.846
264,469.212
265,735.076
266,735.076
267,469.212
268,469.212
269,579.674
270,469.212
271,674.642
272,730.898
273,565.158
274,469.212
275,483.846
276,561.974
277,886.904
278,565.158
279,530.088
280,735.076
281,779.242
282,621.778
283,671.024
284,530.088
285,517.326
286,579.674
287,483.846
288,530.088
289,730.898
290,692.774
291,734.938
292,535.192
293,519.684
294,475.61
295,565.158
296,469.204
297,589.986
298,584.806
299,671.024
300,634.422
301,465.348
302,471.818
303,561.974
304,734.93
305,579.674
306,565.158
307,621.778
308,565.158
309,470.688
310,465.348
311,561.974
312,517.326
313,674.642
314,685.378
315,634.422
316,517.326
317,634.422
318,634.422
319,634.422
320,465.348
321,470.688
322,589.986
323,589.986
324,621.778
325,674.642
326,538.152
327,565.158
328,525.062
329,634.422
330,530.132
331,685.368
332,469.204
333,730.898
334,671.024
335,471.826
336,621.778
337,579.682
338,779.34
339,634.422
340,674.646
341,779.34
342,730.898
343,530.132
344,535.192
345,471.826
346,535.192
347,596.2
348,730.898
349,584.806
350,692.774
351,734.93
352,475.61
353,596.2
354,530.132
355,634.422
356,589.986
357,483.826
358,589.986
359,483.826
360,730.898
361,471.826
362,734.93
363,634.422
364,671.024
365,886.904
366,671.024
367,471.834
368,469.204
369,470.706
370,525.062
371,734.93
372,621.778
373,525.062
374,692.774
375,685.368
376,692.774
377,589.986
378,634.422
379,469.204
380,530.132
381,734.93
382,674.646
383,475.61
384,692.774
385,596.2
386,779.34
387,565.158
388,674.646
389,671.024
390,519.684
391,779.34
392,561.974
393,674.646
394,584.784
395,886.816
396,621.778
397,584.784
398,517.326
399,734.93
400,519.684
401,621.778
402,469.204
403,565.158
404,621.778
405,621.778
406,535.192
407,685.368
408,692.806
409,671.024
410,535.192
411,674.646
412,589.986
413,634.422
414,579.682
415,589.986
416,538.152
417,734.93
418,579.682
419,692.782
420,530.132
421,589.986
422,692.782
423,734.93
424,469.204
425,471.842
426,685.368
427,671.0
428,519.684
429,519.684
430,530.132
431,561.974
432,517.348
433,596.194
434,674.644
435,519.684
436,535.192
437,634.426
438,483.85
439,483.958
440,584.892
441,483.958
442,561.974
443,886.624
444,465.348
445,589.986
446,519.676
447,779.372
448,596.168
449,465.346
450,584.946
451,519.676
452,621.778
453,692.81
454,730.832
455,589.986
456,538.152
457,634.422
458,730.832
459,671.028
460,519.676
461,779.372
462,475.602
463,469.204
464,535.226
465,621.778
466,470.706
467,565.158
468,579.686
469,483.958
470,538.152
471,730.84
472,535.194
473,475.594
474,584.718
475,519.644
476,579.686
477,692.81
478,579.686
479,465.346
