,House,EnergyProduction
0,1,808.473
1,2,572.9392
2,3,724.9675
3,4,489.9754
4,5,489.9754
5,6,656.54346
6,7,749.3555
7,8,581.07556
8,9,497.619
9,10,521.99567
10,11,521.99567
11,12,656.54346
12,13,597.3273
13,14,521.99567
14,15,808.473
15,16,572.9392
16,17,656.76044
17,18,581.0883
18,19,572.9392
19,20,498.21207
20,21,725.6116
21,22,581.07556
22,23,514.2507
23,24,656.54346
24,25,514.2507
25,26,733.19824
26,27,749.3555
27,28,808.6756
28,29,572.9392
29,30,597.2364
30,31,808.6756
31,32,597.2364
32,33,808.6756
33,34,489.5335
34,35,489.5335
35,36,597.3273
36,37,724.9675
37,38,749.3555
38,39,581.0883
39,40,724.9675
40,41,597.2364
41,42,514.2507
42,43,725.6116
43,44,724.9675
44,45,733.19824
45,46,513.80884
46,47,521.99567
47,48,514.2507
48,49,521.99567
49,50,733.19824
50,51,521.99567
51,52,725.6116
52,53,572.9392
53,54,497.619
54,55,724.9675
55,56,514.2507
56,57,572.899
57,58,573.4586
58,59,572.9392
59,60,808.6756
60,61,656.41486
61,62,597.2364
62,63,656.54346
63,64,521.99567
64,65,497.619
65,66,597.3273
66,67,808.473
67,68,597.2364
68,69,498.21207
69,70,597.3273
70,71,498.21207
71,72,656.76044
72,73,513.80884
73,74,572.899
74,75,573.4586
75,76,572.9392
76,77,656.54346
77,78,573.4586
78,79,498.21207
79,80,573.4586
80,81,808.473
81,82,656.54346
82,83,572.9392
83,84,572.9392
84,85,656.41486
85,86,960.9302
86,87,521.99567
87,88,521.99567
88,89,506.1126
89,90,656.54346
90,91,597.3273
91,92,489.9754
92,93,489.9754
93,94,808.6756
94,95,733.19824
95,96,960.9302
96,97,498.21207
97,98,489.5335
98,99,497.619
99,100,573.4586
100,101,581.0883
101,102,538.29584
102,103,725.6116
103,104,724.9675
104,105,656.76044
105,106,808.6756
106,107,498.21207
107,108,497.619
108,109,960.9302
109,110,808.473
110,111,489.9754
111,112,581.07556
112,113,497.619
113,114,572.9392
114,115,538.29584
115,116,514.2507
116,117,506.1126
117,118,656.54346
118,119,489.9754
119,120,489.9754
120,121,573.419
121,122,725.6116
122,123,597.2364
123,124,656.76044
124,125,581.07556
125,126,572.899
126,127,497.619
127,128,749.3555
128,129,581.07556
129,130,572.9392
130,131,573.419
131,132,725.6116
132,133,572.899
133,134,573.4586
134,135,597.3273
135,136,573.419
136,137,514.2507
137,138,489.9754
138,139,656.41486
139,140,572.899
140,141,749.3555
141,142,597.2364
142,143,498.21207
143,144,581.0883
144,145,597.3273
145,146,581.0883
146,147,573.419
147,148,498.21207
148,149,573.4586
149,150,573.419
150,151,581.07556
151,152,960.9302
152,153,733.19824
153,154,573.4586
154,155,514.2507
155,156,490.77432
156,157,572.9392
157,158,597.3273
158,159,513.80884
159,160,960.9302
160,161,808.6756
161,162,497.619
162,163,656.76044
163,164,538.29584
164,165,498.21207
165,166,725.6116
166,167,497.619
167,168,538.29584
168,169,597.3273
169,170,581.07556
170,171,573.419
171,172,506.1126
172,173,656.54346
173,174,808.6756
174,175,521.99567
175,176,514.2507
176,177,808.473
177,178,573.4586
178,179,808.6756
179,180,573.4586
180,181,572.9392
181,182,573.419
182,183,572.899
183,184,733.19824
184,185,808.473
185,186,513.80884
186,187,808.6756
187,188,581.0883
188,189,724.9675
189,190,808.473
190,191,573.4586
191,192,724.9675
192,193,572.9392
193,194,572.899
194,195,749.3555
195,196,573.419
196,197,498.21207
197,198,514.2507
198,199,581.0883
199,200,749.3555
200,201,497.619
201,202,498.21207
202,203,489.9754
203,204,581.07556
204,205,581.07556
205,206,521.99567
206,207,538.29584
207,208,749.3555
208,209,490.77432
209,210,724.9675
210,211,514.2507
211,212,808.473
212,213,538.29584
213,214,497.619
214,215,725.6116
215,216,513.80884
216,217,513.80884
217,218,573.4586
218,219,521.99567
219,220,521.99567
220,221,808.6756
221,222,749.3555
222,223,581.07556
223,224,513.80884
224,225,581.0883
225,226,498.21207
226,227,490.77432
227,228,597.2364
228,229,506.1126
229,230,808.6756
230,231,489.9754
231,232,572.9392
232,233,597.2364
233,234,733.19824
234,235,597.2364
235,236,724.9675
236,237,497.619
237,238,489.5335
238,239,581.0883
239,240,497.619
240,241,521.99567
241,242,489.9754
242,243,581.0883
243,244,498.21207
244,245,538.29584
245,246,513.80884
246,247,573.4586
247,248,581.07556
248,249,573.419
249,250,597.2364
250,251,581.07556
251,252,538.29584
252,253,597.2364
253,254,597.2364
254,255,521.99567
255,256,656.76044
256,257,581.0883
257,258,725.6116
