ID,Label,House,Year,Month,Temperature,Daylight,EnergyProduction
1,0,1,2011,7,26.2,178.9,740
2,1,1,2011,8,25.8,169.7,731
3,2,1,2011,9,22.8,170.2,694
4,3,1,2011,10,16.4,169.1,688
5,4,1,2011,11,11.4,169.1,650
6,5,1,2011,12,4.2,199.5,763
7,6,1,2012,1,1.8,203.1,765
8,7,1,2012,2,2.8,178.2,706
9,8,1,2012,3,6.7,172.7,788
10,9,1,2012,4,12.6,182.2,831
11,10,1,2012,5,17.6,214.2,955
12,11,1,2012,6,20.8,143,837
13,12,1,2012,7,25.3,156.9,863
14,13,1,2012,8,27.4,257.1,1069
15,14,1,2012,9,24,169.8,815
16,15,1,2012,10,16.7,193.2,784
17,16,1,2012,11,9.4,182,634
18,17,1,2012,12,3.8,180.1,593
19,18,1,2013,1,2.2,229.7,763
20,19,1,2013,2,3.3,193.5,756
21,20,1,2013,3,9.7,220.2,931
22,21,1,2013,4,12.5,226.1,967
23,22,1,2013,5,18.5,254,1088
24,23,1,2013,6,22,125.5,778
25,0,2,2011,7,25.6,179,659
26,1,2,2011,8,25.5,180.5,619
27,2,2,2011,9,22.7,167.1,563
28,3,2,2011,10,16.5,152.6,511
29,4,2,2011,11,11.5,157.8,467
30,5,2,2011,12,4.3,192.4,545
31,6,2,2012,1,1.6,198.9,578
32,7,2,2012,2,2.8,159.5,499
33,8,2,2012,3,6.7,159.2,567
34,9,2,2012,4,12.3,178.3,641
35,10,2,2012,5,17.4,200.3,690
36,11,2,2012,6,19.9,153.9,592
37,12,2,2012,7,24.7,174.1,695
38,13,2,2012,8,26.8,261.5,805
39,14,2,2012,9,23.7,177.1,588
40,15,2,2012,10,16.6,179.6,520
41,16,2,2012,11,9.4,171.8,402
42,17,2,2012,12,3.6,167.4,350
43,18,2,2013,1,2,216.3,451
44,19,2,2013,2,3.3,183.7,468
45,20,2,2013,3,9.8,200.4,625
46,21,2,2013,4,12.5,213,721
47,22,2,2013,5,17.5,243.8,839
48,23,2,2013,6,21.1,123.1,627
49,0,3,2011,7,26.9,179.7,617
50,1,3,2011,8,26.6,176.4,601
51,2,3,2011,9,24,177.5,654
52,3,3,2011,10,17.5,157.1,598
53,4,3,2011,11,12.3,163.3,626
54,5,3,2011,12,5.1,200,805
55,6,3,2012,1,2.6,206.9,792
56,7,3,2012,2,3.6,175.8,669
57,8,3,2012,3,7.2,163.9,681
58,9,3,2012,4,12.8,172.4,696
59,10,3,2012,5,18.3,208.7,824
60,11,3,2012,6,20.5,148.6,698
61,12,3,2012,7,25.7,164,836
62,13,3,2012,8,28.4,261.9,974
63,14,3,2012,9,24.8,165.8,709
64,15,3,2012,10,17.6,188.2,679
65,16,3,2012,11,10.5,172.6,522
66,17,3,2012,12,4.9,189.4,497
67,18,3,2013,1,3.3,232.2,632
68,19,3,2013,2,3.9,193.8,664
69,20,3,2013,3,10.1,203.1,797
70,21,3,2013,4,13.1,214,860
71,22,3,2013,5,18.3,247.2,1005
72,23,3,2013,6,21.9,126.8,735
73,0,4,2011,7,25.7,187.2,564
74,1,4,2011,8,25.9,184.4,517
75,2,4,2011,9,23.5,173.4,505
76,3,4,2011,10,17.5,137.1,411
77,4,4,2011,11,12.6,145,400
78,5,4,2011,12,5.4,185.3,489
79,6,4,2012,1,2.7,193.1,520
80,7,4,2012,2,3.5,158.1,445
81,8,4,2012,3,7,149,479
82,9,4,2012,4,11.9,171.6,529
83,10,4,2012,5,17.2,198.8,584
84,11,4,2012,6,18.9,168.8,507
85,12,4,2012,7,24.3,178.5,621
86,13,4,2012,8,27,268.8,690
87,14,4,2012,9,24.3,177.3,477
88,15,4,2012,10,17.6,176.9,440
89,16,4,2012,11,11,159.9,330
90,17,4,2012,12,5.4,172.5,311
91,18,4,2013,1,3.4,221,395
92,19,4,2013,2,4,183.2,417
93,20,4,2013,3,9.9,185.3,507
94,21,4,2013,4,12.6,197.6,592
95,22,4,2013,5,16.4,240.7,723
96,23,4,2013,6,20.2,125.2,533
97,0,5,2011,7,25.7,187.2,564
98,1,5,2011,8,25.9,184.4,517
99,2,5,2011,9,23.5,173.4,505
100,3,5,2011,10,17.5,137.1,411
101,4,5,2011,11,12.6,145,400
102,5,5,2011,12,5.4,185.3,489
103,6,5,2012,1,2.7,193.1,520
104,7,5,2012,2,3.5,158.1,445
105,8,5,2012,3,7,149,479
106,9,5,2012,4,11.9,171.6,529
107,10,5,2012,5,17.2,198.8,584
108,11,5,2012,6,18.9,168.8,507
109,12,5,2012,7,24.3,178.5,621
110,13,5,2012,8,27,268.8,690
111,14,5,2012,9,24.3,177.3,477
112,15,5,2012,10,17.6,176.9,440
113,16,5,2012,11,11,159.9,330
114,17,5,2012,12,5.4,172.5,311
115,18,5,2013,1,3.4,221,395
116,19,5,2013,2,4,183.2,417
117,20,5,2013,3,9.9,185.3,507
118,21,5,2013,4,12.6,197.6,592
119,22,5,2013,5,16.4,240.7,723
120,23,5,2013,6,20.2,125.2,533
121,0,6,2011,7,24.8,178.1,783
122,1,6,2011,8,24.7,173.8,749
123,2,6,2011,9,21.4,159.8,603
124,3,6,2011,10,15.3,164.6,601
125,4,6,2011,11,10.6,163.7,491
126,5,6,2011,12,3.4,191.9,503
127,6,6,2012,1,0.8,195,552
128,7,6,2012,2,2,161.8,536
129,8,6,2012,3,6.2,168,674
130,9,6,2012,4,12.1,188.1,776
131,10,6,2012,5,16.7,205.8,821
132,11,6,2012,6,20.2,148.2,732
133,12,6,2012,7,24.3,167,722
134,13,6,2012,8,25.8,256.7,900
135,14,6,2012,9,22.8,181.1,694
136,15,6,2012,10,15.6,184.5,625
137,16,6,2012,11,8.3,181.2,514
138,17,6,2012,12,2.4,158.1,446
139,18,6,2013,1,0.9,213.8,582
140,19,6,2013,2,2.6,183.4,560
141,20,6,2013,3,9.3,217.4,759
142,21,6,2013,4,11.9,225.1,828
143,22,6,2013,5,17.7,250.6,922
144,23,6,2013,6,21.1,121.8,670
145,0,7,2011,7,27.3,175.8,629
146,1,7,2011,8,26.8,161.7,616
147,2,7,2011,9,24,180.3,647
148,3,7,2011,10,17.3,170.3,631
149,4,7,2011,11,12.3,176.7,625
150,5,7,2011,12,4.9,205.2,755
151,6,7,2012,1,2.6,207,747
152,7,7,2012,2,3.4,186.5,688
153,8,7,2012,3,7,175.1,710
